species	segmented
Tomato chocolate spot virus	yes
Tomato leaf curl Hainan virus	yes
Abutilon Brazil virus	yes
Cleome leaf crumple virus	yes
Sida Brazil virus	yes
Sida golden mosaic Brazil virus	yes
Velvet bean severe mosaic virus	yes
Croton yellow vein virus	yes
Ceratocystis resinifera virus 1	yes
Pleurotus ostreatus virus 1	yes
Rosellinia necatrix virus 1	yes
Cotton leaf curl Shahdadpur virus	yes
Cryptosporidium parvum virus 1	yes
Malvastrum yellow vein Honghe virus	yes
Tomato leaf deformation virus	yes
Quaranjavirus quaranfilense	yes
Quaranjavirus johnstonense	yes
Sweet potato golden vein associated virus	yes
Sweet potato leaf curl Bengal virus	yes
Tomato leaf curl Cameroon virus	yes
Tomato leaf curl Oman virus	yes
Rhynchosia mild mosaic virus	yes
Merremia mosaic Puerto Rico virus	yes
Bean yellow mosaic Mexico virus	yes
Lilac leaf chlorosis virus	yes
Duranta leaf curl virus	yes
Mammarenavirus merinoense	yes
Blueberry shock virus	yes
Pea necrotic yellow dwarf virus	yes
Sida golden mottle virus	yes
Soybean mild mottle virus	yes
Soybean chlorotic blotch virus	yes
Magnaporthe oryzae chrysovirus 1	yes
Tomato bright yellow mottle virus	yes
Sidastrum golden leaf spot virus	yes
Chino del tomate Amazonas virus	yes
Cleome golden mosaic virus	yes
Rosellinia necatrix partitivirus 2	yes
Heterobasidion partitivirus 2	yes
Rose leaf curl virus	yes
Eclipta yellow vein virus	yes
Pepper yellow leaf curl virus	yes
Fig cryptic virus	yes
Mammarenavirus lunaense	yes
Pepper leaf curl Lahore virus	yes
Tobacco leaf curl Pusa virus	yes
Raspberry latent virus	yes
Bhendi yellow vein India virus	yes
Okra leaf curl India virus	yes
Okra enation leaf curl virus	yes
Beet cryptic virus 2	yes
Ageratum leaf curl Cameroon virus	yes
Okra leaf curl Cameroon virus	yes
Papaya leaf crumple virus	yes
Sida mosaic Bolivia virus 1	yes
Sida mosaic Bolivia virus 2	yes
Abutilon mosaic Bolivia virus	yes
Solanum mosaic Bolivia virus	yes
Rhynchosia yellow mosaic India virus	yes
Tomato leaf curl Ranchi virus	yes
Heterobasidion partitivirus 1	yes
Hollyhock yellow vein mosaic virus	yes
Tomato leaf curl Hanoi virus	yes
Orsay virus	yes
Santeuil nodavirus	yes
Sweet potato leaf curl Sao Paulo virus	yes
Tomato leaf curl Comoros virus	yes
Sweet potato leaf curl South Carolina virus	yes
Rosellinia necatrix quadrivirus 1	yes
Sida golden mosaic Lara virus	yes
Pepper leaf curl Yunnan virus	yes
Spissistilus festinus reovirus	yes
Groundnut ringspot and Tomato chlorotic spot virus reassortant	yes
Jatropha mosaic India virus	yes
Sida mosaic Alagoas virus	yes
Abutilon mosaic Brazil virus	yes
West African Asystasia virus 1	yes
West African Asystasia virus 2	yes
Pepper cryptic virus 2	yes
Squash yellow mild mottle virus	yes
Catharanthus yellow mosaic virus	yes
Tomato chlorotic leaf distortion virus	yes
Aspergillus foetidus dsRNA mycovirus	yes
Bhendi yellow vein Delhi virus	yes
Tomato interveinal chlorosis virus	yes
Sida yellow mottle virus	yes
Cannabis cryptic virus	yes
Tomato mild yellow leaf curl Aragua virus	yes
Cassava mosaic Madagascar virus	yes
Espirito Santo virus	yes
Centrosema yellow spot virus	yes
Macroptilium yellow net virus	yes
Macroptilium yellow spot virus	yes
Macroptilium yellow vein virus	yes
Sauropus leaf curl virus	yes
Faba bean yellow leaf virus	yes
Piscine orthoreovirus	yes
Tomato rugose yellow leaf curl virus	yes
Vinca leaf curl virus	yes
Mogiana tick virus	yes
Persimmon cryptic virus	yes
Otarine picobirnavirus	yes
Amazon lily mild mottle virus	yes
Tomato dwarf leaf virus	yes
Sida yellow mosaic China virus	yes
Premna leaf curl virus	yes
Sweet potato leaf curl China virus	yes
Jacquemontia mosaic Yucatan virus	yes
Jatropha mosaic Nigeria virus	yes
Soybean chlorotic spot virus	yes
Pouzolzia golden mosaic virus	yes
Bean chlorosis virus	yes
Bean white chlorosis mosaic virus	yes
Dalechampia chlorotic mosaic virus	yes
Datura leaf distortion virus	yes
Honeysuckle yellow vein Kagoshima virus	yes
Okra leaf curl Oman virus	yes
Le Blanc nodavirus	yes
Blechum interveinal chlorosis virus	yes
Heterobasidion partitivirus 8	yes
Spinach yellow vein virus	yes
Sida ciliaris golden mosaic virus	yes
Orthotospovirus morivenae	yes
Mulberry vein banding virus	yes
Tomato mottle wrinkle virus	yes
Sida yellow net virus	yes
Sida yellow blotch virus	yes
Sida yellow mosaic Alagoas virus	yes
Sida mottle Alagoas virus	yes
Bombyx mori bidensovirus	yes
Rosellinia necatrix megabirnavirus 1	yes
Corchorus yellow vein mosaic virus	yes
Tomato leaf curl Liwa virus	yes
Verticillium dahliae partitivirus 1	yes
Vigna yellow mosaic virus	yes
Allamanda leaf mottle distortion virus	yes
Hop trefoil cryptic virus 2	yes
Red clover cryptic virus 2	yes
White clover cryptic virus 2	yes
Crimson clover cryptic virus 2	yes
Dill cryptic virus 2	yes
Burdock mottle virus	yes
Ageratum Yellow vein China virus - OX1	yes
Tomato leaf curl China virus - OX2	yes
Cryphonectria parasitica bipartite mycovirus 1	yes
Malvastrum leaf curl Philippines virus	yes
Tomato yellow leaf curl Yunnan virus	yes
Tomato golden leaf spot virus	yes
Tomato bright yellow mosaic virus	yes
Bat rotavirus	yes
Rotavirus H	yes
Pouzolzia mosaic Guangdong virus	yes
Hemidesmus yellow mosaic virus	yes
Tomato leaf curl Gandhinagar virus	yes
Ageratum latent virus	yes
Heterobasidion partitivirus 7	yes
Tomato yellow leaf curl Saudi virus	yes
Sweet potato leaf curl Shanghai virus	yes
Cotton chlorotic spot virus	yes
Anopheline-associated C virus	yes
Murrumbidgee virus	yes
Mobuck virus	yes
Red clover cryptic virus 1	yes
Dill cryptic virus 1	yes
Pumpkin yellow mosaic virus	yes
Rhizoctonia solani dsRNA virus 2	yes
Ustilaginoidea virens partitivirus 2	yes
Cimodo virus	yes
Hedyotis uncinella yellow mosaic virus	yes
Tibet orbivirus	yes
Mirabilis leaf curl virus	yes
Pea yellow stunt virus	yes
Mammarenavirus loeiense	yes
Arrabida virus	yes
Pteropine orthoreovirus	yes
Cassava Ivorian bacilliform virus	yes
Heterobasidion partitivirus 12	yes
Heterobasidion partitivirus 13	yes
Heterobasidion partitivirus 15	yes
Tomato necrotic dwarf virus	yes
Jatropha yellow mosaic virus	yes
Sweet potato leaf curl Henan virus	yes
Sweet potato leaf curl Guangxi virus	yes
Jacquemontia yellow mosaic virus	yes
Tomato leaf curl Barka virus	yes
Primula malacoides virus 1	yes
Fusarium solani virus 1	yes
Bitter gourd yellow vein virus	yes
Rhynchosia golden mosaic Havana virus	yes
Rhynchosia golden mosaic Sinaloa virus	yes
Rhynchosia rugose golden mosaic virus	yes
Sida golden mosaic Buckup virus	yes
Sweet potato leaf curl Uganda virus	yes
Tomato leaf curl Nigeria virus	yes
Tomato yellow leaf curl Indonesia virus	yes
Coccinia mosaic Tamil Nadu virus	yes
Mammarenavirus gairoense	yes
Jatropha leaf crumple virus	yes
Fako virus	yes
Rosellinia necatrix partitivirus 6	yes
Dendrolimus punctatus cypovirus 22	yes
Arhar cryptic virus-I	yes
Black grass cryptic virus 2	yes
Mammarenavirus wenzhouense	yes
Betachrysovirus botryosphaeriae	yes
Rhizoctonia fumigata mycovirus	yes
Oxalis yellow vein virus	yes
Huangpi Tick Virus 2	yes
Asystasia mosaic Madagascar virus	yes
Tomato enation leaf curl virus	yes
Malvastrum yellow vein Cambodia virus	yes
Tomato necrotic streak virus	yes
Rotavirus I	yes
Grapevine Cabernet Sauvignon reovirus	yes
Mammarenavirus marientalense	yes
Mammarenavirus okahandjaense	yes
Drakaea virus A	yes
Reptarenavirus rotterdamense	yes
Alethinophid 2 reptarenavirus	yes
Sclerotinia sclerotiorum botybirnavirus 1	yes
Sclerotinia sclerotiorum megabirnavirus 1	yes
Victorian trout aquabirnavirus	yes
Lutzomyia reovirus 1	yes
Rosellinia necatrix megabirnavirus 2-W8	yes
Chilli leaf curl Ahmedabad virus-India [India/Ahmedabad/2014]	yes
Chobar Gorge virus	yes
Pseudogymnoascus destructans partitivirus-pa	yes
Tomato chlorotic mottle Guyane virus	yes
Tetterwort vein chlorosis virus	yes
Tasmanian aquabirnavirus	yes
Passionfruit leaf distortion virus	yes
Andrographis yellow vein leaf curl virus	yes
Lisianthus enation leaf curl virus	yes
Beauveria bassiana polymycovirus 1	yes
Melochia mosaic virus	yes
Melochia yellow mosaic virus	yes
Pavonia yellow mosaic virus	yes
Shuangao insect virus 7	yes
Wuhan aphid virus 1	yes
Wuhan aphid virus 2	yes
Wuhan cricket virus	yes
Wuhan flea virus	yes
Cnidoscolus mosaic leaf deformation virus	yes
Penicillium aurantiogriseum bipartite virus 1	yes
Penicillium aurantiogriseum partitivirus 1	yes
Colombian potato soil-borne virus	yes
Sinapis alba cryptic virus 1	yes
Pavonia mosaic virus	yes
Pepper yellow leaf curl Thailand virus	yes
Apple necrotic mosaic virus	yes
Lycianthes yellow mosaic virus	yes
Zirqa virus	yes
Callinectes sapidus reovirus 1	yes
Deinbollia mosaic virus	yes
Rhizoctonia solani dsRNA virus 3	yes
Triumfetta yellow mosaic virus	yes
Sclerotinia sclerotiorum mycoreovirus 4	yes
Arabidopsis halleri partitivirus 1	yes
Fusarium poae partitivirus 2	yes
Fusarium poae alternavirus 1	yes
Leptomonas seymouri Narna-like virus 1	yes
Tospovirus kiwifruit/YXW/2014	yes
Etheostoma fonticola aquareovirus	yes
Ramie mosaic Yunnan virus	yes
Croton golden mosaic virus	yes
Hybanthus yellow mosaic virus	yes
Verbena mottle virus	yes
Senna leaf curl virus	yes
Sophora japonica powdery mildew-associated partitivirus	yes
Synedrella leaf curl virus	yes
Macroptilium bright mosaic virus	yes
Macroptilium common mosaic virus	yes
Sida angular mosaic virus	yes
Sida chlorotic vein virus	yes
Wissadula yellow mosaic virus	yes
Malvastrum bright yellow mosaic virus	yes
Picobirnavirus sp.	yes
Synedrella yellow vein clearing virus	yes
Common bean mottle virus	yes
Common bean severe mosaic virus	yes
Botrytis porri botybirnavirus 1	yes
Gentian ovary ringspot virus	yes
Beihai barnacle virus 11	yes
Beihai barnacle virus 12	yes
Beihai barnacle virus 13	yes
Beihai horseshoe crab virus 1	yes
Beihai mantis shrimp virus 6	yes
Beihai noda-like virus 11	yes
Beihai partiti-like virus 2	yes
Beihai picobirna-like virus 7	yes
Beihai picobirna-like virus 8	yes
Beihai shrimp virus 3	yes
Beihai shrimp virus 5	yes
Beihai shrimp virus 6	yes
Beihai sphaeromadae virus 3	yes
Changping earthworm virus 2	yes
Hubei Wuhan insect virus 9	yes
Hubei diptera virus 12	yes
Hubei diptera virus 13	yes
Hubei diptera virus 14	yes
Hubei diptera virus 17	yes
Hubei diptera virus 18	yes
Hubei insect virus 2	yes
Hubei lepidoptera virus 3	yes
Hubei mosquito virus 2	yes
Hubei myriapoda virus 9	yes
Hubei noda-like virus 8	yes
Hubei noda-like virus 9	yes
Hubei orthoptera virus 4	yes
Hubei partiti-like virus 11	yes
Hubei tetragnatha maxillosa virus 6	yes
Hubei tetragnatha maxillosa virus 8	yes
Hubei unio douglasiae virus 1	yes
Sanxia water strider virus 10	yes
Shahe heteroptera virus 3	yes
Wenzhou shrimp virus 9	yes
Wuchan romanomermis nematode virus 3	yes
Wuhan Millipede virus 4	yes
Wuhan arthropod virus 4	yes
Wuhan cricket virus 2	yes
Wuhan fly virus 5	yes
Wuhan heteroptera virus 2	yes
Wuhan heteroptera virus 3	yes
Wuhan house centipede virus 4	yes
Wuhan house centipede virus 5	yes
Wuhan house centipede virus 6	yes
Wuhan insect virus 21	yes
Wuhan insect virus 22	yes
Wuhan insect virus 23	yes
Wuhan insect virus 35	yes
Wuhan large pig roundworm virus 1	yes
Wuhan pillworm virus 1	yes
Wuhan pillworm virus 3	yes
Xingshan nematode virus 5	yes
Xinzhou partiti-like virus 1	yes
Vernonia crinkle virus	yes
Abutilon golden mosaic virus	yes
Rotavirus J	yes
Chicken picobirnavirus	yes
Pea leaf distortion virus	yes
Orthobunyavirus cuchillaense	yes
Orthobunyavirus akabaneense	yes
Orthobunyavirus horizonteense	yes
