species	segmented
Gemycircularvirus siedo1	no
Gemycircularvirus soybe1	no
Gemycircularvirus termi1	no
Gemyduguivirus bemta1	no
Gemyduguivirus draga1	no
Gemygorvirus cania1	no
Gemygorvirus malas1	no
Gemygorvirus ptero1	no
Gemygorvirus sewopo1	no
Gemygorvirus stara1	no
Gemykibivirus anima1	no
Gemykibivirus badas1	no
Gemykibivirus bemta1	no
Gemykibivirus blabi1	no
Gemykibivirus blaro1	no
Gemykibivirus bovas1	no
Gemykibivirus cowchi1	no
Gemykibivirus draga1	no
Gemykibivirus echi1	no
Gemykibivirus haeme2	no
Gemykibivirus humas1	no
Gemykibivirus humas2	no
Gemykibivirus humas3	no
Gemykibivirus humas4	no
Gemykibivirus humas5	no
Gemykibivirus monas1	no
Gemykibivirus ptero1	no
Gemykibivirus rhina1	no
Gemykibivirus rhina2	no
Gemykibivirus sewopo1	no
Gemykibivirus sewopo2	no
Gemykolovirus echia1	no
Gemykolovirus ptero1	no
Gemykolovirus ptero2	no
Gemykolovirus segpa1	no
Gemykrogvirus bovas1	no
Gemykrogvirus carib1	no
Gemykrogvirus galga2	no
Gemykrogvirus sewopo1	no
Gemykroznavirus rabas1	no
Gemytondvirus ostri1	no
Gemyvongvirus humas1	no
Montyvirus adgers	no
Tanisvirus avazak	no
Montyvirus beaver	no
Montyvirus chelms	no
Kenoshavirus chikenjars	no
Kenoshavirus crocheter	no
Kenoshavirus duffington	no
Ruthyvirus dumpsterdude	no
Lambovirus gibbin	no
Montyvirus jellybones	no
Montyvirus john316	no
Kenoshavirus kenosha	no
Lambovirus lambo	no
Kenoshavirus ohmyward	no
Lambovirus ranch	no
Kenoshavirus rickmore	no
Lambovirus sadboi	no
Secretariatvirus secretariat	no
Montyvirus sombrero	no
Tanisvirus tanis	no
Kenoshavirus untouchable	no
Lambovirus yikes	no
Gyrovirus fulgla1	no
Gyrovirus galga1	no
Gyrovirus galga2	no
Gyrovirus homsa1	no
Gyrovirus homsa2	no
Gyrovirus homsa3	no
Gyrovirus homsa4	no
Gyrovirus hydho1	no
Hagavirus psychrophilum	no
Haloferacalesvirus HF2	no
Sendosyvirus APSE2	no
Sigmavirus hippoboscid	no
Hoswirudivirus ARV2	no
Alphadrosrhavirus hubei	no
Alphapaprhavirus hubei	no
Betanemrhavirus hubei	no
Sigmavirus hubei	no
Hubramonavirus hubeiense	no
Huchismacovirus chicas1	no
Huchismacovirus chicas2	no
Hukuchivirus IN93	no
Hukuchivirus P2377	no
Icerudivirus SIRV1	no
Icerudivirus SIRV2	no
Itarudivirus ARV1	no
Webervirus wv13	no
Webervirus alina	no
Mydovirus BIS47	no
Webervirus call	no
Webervirus domnhall	no
Marfavirus F48	no
Webervirus FZ10	no
Webervirus IMGroot	no
Webervirus JY917	no
Mydovirus KB57	no
Webervirus KLPPOU149	no
Webervirus KL	no
Mydovirus KNP2	no
Webervirus KP1801	no
Kaypoctavirus KP8	no
Pylasvirus KpCHEMY26	no
Lastavirus lasta	no
Taipeivirus magnus	no
Marfavirus marfa	no
Yonseivirus N137	no
Webervirus KpNIH2	no
Pylasvirus pylas	no
Vimunumvirus ST147VIM1phi71	no
Reipivirus ST16OXA48phi54	no
Felsduovirus ST437OXA245phi42	no
Webervirus segescirculi	no
Yonseivirus seifer	no
Webervirus shelby	no
Webervirus sin4	no
Webervirus skenny	no
Yonseivirus soft	no
Lastavirus sopranogao	no
Webervirus sweeny	no
Watanabevirus wv3521	no
Tybeckvirus tv521B	no
Ashduovirus A2	no
Behunavirus BH1	no
Colunavirus CL1	no
Colunavirus CL2	no
Junavirus J1	no
Lafunavirus LF1	no
Junavirus LJ	no
Lacnuvirus LcNu	no
Hopescreekvirus LfeInf	no
Elpedvirus LpeD	no
Larmunavirus Lrm1	no
Junavirus PL1	no
Pleeduovirus PLE2	no
Pleetrevirus PLE3	no
Tybeckvirus SAC12B	no
Sukhumvitvirus T25	no
Iaduovirus iA2	no
Colunavirus iLp1308	no
Pleetrevirus iLp84	no
Fattrevirus AT3	no
Skunavirus sv05601	no
Ceduovirus cv05802	no
Skunavirus sv10W18	no
Whiteheadvirus wv1358	no
Skunavirus sv13W11L	no
Skunavirus sv16802	no
Skunavirus sv16W23	no
Fremauxvirus fv1706	no
Ceduovirus cv20R03M	no
Skunavirus sv30804	no
Skunavirus sv340	no
Skunavirus sv37201	no
Ceduovirus cv37203	no
Skunavirus sv38503	no
Skunavirus sv38507	no
Skunavirus sv3R16S	no
Ceduovirus cv50102	no
Ceduovirus cv50504	no
Vedamuthuvirus vv50902	no
Skunavirus sv51701	no
Ceduovirus cv5171F	no
Skunavirus sv56003	no
Skunavirus sv56301	no
Skunavirus sv57001	no
Ceduovirus cv62402	no
Ceduovirus cv62403	no
Vedamuthuvirus vv62503	no
Skunavirus sv62601	no
Skunavirus sv62605	no
Ceduovirus cv62606	no
Skunavirus sv63302	no
Skunavirus sv66901	no
Skunavirus sv79201	no
Skunavirus sv88605	no
Skunavirus sv8V08	no
Skunavirus sv936	no
Audreyjarvisvirus av949	no
Skunavirus sv96401	no
Skunavirus sv96403	no
Skunavirus sv96603	no
Audreyjarvisvirus AM1	no
Audreyjarvisvirus AM4	no
Teubervirus AM6	no
Sandinevirus BK5T	no
Vedamuthuvirus BM13	no
Ceduovirus CHPC1020	no
Ceduovirus CHPC116	no
Ceduovirus CHPC1170	no
Ceduovirus CHPC1182	no
Ceduovirus CHPC1183	no
Ceduovirus CHPC122	no
Ceduovirus CHPC1242	no
Skunavirus CHPC129	no
Skunavirus CHPC361	no
Skunavirus CHPC362	no
Skunavirus CHPC52	no
Skunavirus CHPC781	no
Skunavirus CHPC958	no
Skunavirus CHPC959	no
Skunavirus CHPC964	no
Skunavirus CHPC965	no
Ceduovirus CHPC966	no
Ceduovirus CHPC967	no
Fremauxvirus CHPC971	no
Ceduovirus CHPC972	no
Skunavirus caseusJM1	no
Ceduovirus D4410	no
Ceduovirus D4412	no
Chertseyvirus GE1	no
Skunavirus LP0209	no
Skunavirus LP0903	no
Skunavirus LP1502a	no
Skunavirus LP8511	no
Skunavirus LP9207	no
Skunavirus LP9404	no
Skunavirus LP9609	no
Skunavirus LP9903	no
Skunavirus LP9908	no
Teubervirus LW31	no
Audreyjarvisvirus LW81	no
Ceduovirus LacS15	no
Ceduovirus M5938	no
Skunavirus MP1	no
Skunavirus MV10L	no
Nevevirus P078	no
Teubervirus P087	no
Nevevirus P092	no
Vedamuthuvirus P1045	no
Audreyjarvisvirus P1048	no
Nevevirus P118	no
Skunavirus P1532	no
Nevevirus P162	no
Skunavirus P4565	no
Skunavirus P475	no
Teubervirus P596	no
Skunavirus P656	no
Skunavirus P680	no
Ceduovirus PCB1	no
Ceduovirus PCS1	no
Uwajimavirus PLgW1	no
Skunavirus sv109	no
Skunavirus sv155	no
Skunavirus sv193	no
Skunavirus sv42	no
Skunavirus sv44	no
Skunavirus sv512	no
Skunavirus sv91127	no
Skunavirus A16	no
Skunavirus B1127	no
Skunavirus E1127	no
Skunavirus F0139	no
Skunavirus JF1	no
Skunavirus L18	no
Skunavirus L6	no
Skunavirus Lj	no
Skunavirus M1127	no
Skunavirus S0139	no
Vedamuthuvirus Q33	no
Questintvirus Q54	no
Skunavirus R31	no
Audreyjarvisvirus WRP3	no
Ceduovirus bIBB14	no
Skunavirus bIBB5g1	no
Ceduovirus bIBBA3	no
Ceduovirus bIBBAm4	no
Ceduovirus bIBBE1	no
Skunavirus bIBBF12	no
Ceduovirus bIBBp64	no
Ceduovirus blBB94p4	no
Skunavirus fd13	no
Skunavirus i0139	no
Skunavirus jm2	no
Skunavirus jm3	no
Skunavirus p272	no
Skunavirus sv145	no
Skunavirus sv15	no
Skunavirus sv7	no
Audreyjarvisvirus L47	no
Teubervirus Q1	no
Siovirus germanense	no
Saintgironsvirus LE1	no
Nylescharonvirus LE3	no
Nylescharonvirus LE4	no
Limdunavirus LDG	no
Unaquatrovirus Ln7	no
Seongbukvirus MH1	no
Limdunavirus P965	no
Jelitavirus B025	no
Slepowronvirus LP101	no
Slepowronvirus LPHM00113468	no
Livvievirus viph1249a	no
Sigmavirus lousefly	no
Merhavirus merida	no
Akonivirus akoni	no
Tinytimothyvirus alex44	no
Burrovirus araxxi	no
Burrovirus arete	no
Burrovirus burro	no
Ilzatvirus mcgalleon	no
Ilzatvirus monchoix	no
Akonivirus phedro	no
Ilzatvirus teagan	no
Tinytimothyvirus tinytimothy	no
Fukuivirus LMM01	no
Fukuivirus MVDC	no
Milk vetch dwarf China alphasatellite	no
Mivirus amblyommae	no
Mivirus boleense	no
Mivirus changpingense	no
Mivirus dermacentoris	no
Mivirus suffolkense	no
Mivirus wuhanense	no
Morsusvirus argatis	no
Mycobacterium virus Cornie	no
Cukevirus cuke	no
Hnatkovirus DS6A	no
Barnyardvirus drlupo	no
Fowlmouthvirus fowlmouth	no
Indlulamithivirus indlulamithi	no
Mycobacterium virus Renaud18	no
Sparkyvirus sparky	no
Mycobacterium virus Squirty	no
Mycobacterium virus TChen	no
Mycobacterium virus ThetaBob	no
Sigmavirus myga	no
Myriavirus myriapedis	no
Myohalovirus phiCh1	no
Ravarandavirus rv2AV2	no
Ravarandavirus kac65v151	no
Ravarandavirus kac68v161	no
Odonatavirus fabricii	no
Sozzivirus sv9805	no
Sozzivirus S11	no
Sozzivirus S13	no
Ollusvirus coleopteri	no
Ollusvirus shayangense	no
Fernvirus BN12	no
Halcyonevirus C7Cdelta	no
Dragolirvirus dragolir	no
Fernvirus eltigre	no
Fernvirus fern	no
Halcyonevirus halcyone	no
Fernvirus jacopo	no
Fernvirus kawika	no
Fernvirus leyra	no
Fernvirus likha	no
Fernvirus lucielle	no
Fernvirus P123	no
Fernvirus PBL1c	no
Fernvirus pagassa	no
Halcyonevirus scottie	no
Fernvirus tadhana	no
Halcyonevirus unity	no
Wanderervirus wanderer	no
Fernvirus yyerffej	no
Kylevirus kyle	no
Dibbivirus AAM37	no
Lietduovirus LIET2	no
Dibbivirus PSKM	no
Loessnervirus SSEM1	no
Paulavirus viph1008o	no
Paulavirus viph1020o	no
Paulavirus viph1044o	no
Paulavirus viph1080o	no
Cbunavirus CB1	no
Cbunavirus CB4	no
Cbunavirus nepra	no
Cbunavirus A41	no
Pediavirus cirripedis	no
Pepevirus rubrum	no
Pepevirus spumicola	no
Perrunavirus olsenii	no
Phomosis penoulivirus	no
Wumptrevirus PP	no
Aphroditevirus PDCC1	no
Piscichuvirus sanxiaense	no
Porprismacovirus alecas1	no
Porprismacovirus bovas1	no
Porprismacovirus bovas2	no
Porprismacovirus flas1	no
Porprismacovirus goras1	no
Porprismacovirus howas1	no
Porprismacovirus humas1	no
Porprismacovirus humas3	no
Porprismacovirus porci2	no
Porprismacovirus sheas1	no
Porprismacovirus sheas2	no
Porprismacovirus sheas3	no
Porprismacovirus turas1	no
Ronodorvirus pssm3	no
Ronodorvirus ssm4	no
Mydovirus mydo	no
Myducvirus myduc	no
Privateervirus privateer	no
Shandongvirus H101	no
Melvirus helgolandense	no
Melvirus orientalis	no
Matsuvirus pYD6A	no
Pbunavirus pv141	no
Warsawvirus 3MF5	no
Pbunavirus BrSP1	no
Pbunavirus DP1	no
Pbunavirus EPa61	no
Pbunavirus LS1	no
Littlefixvirus littlefix	no
Pbunavirus PA01	no
Paundecimvirus PA11	no
Knuthellervirus PMBT14	no
Pbunavirus R12	no
Pbunavirus R26	no
Pbunavirus S1	no
Pbunavirus SL1	no
Zicotriavirus ZC03	no
Zicotriavirus ZC08	no
Zurivirus zuri	no
Inbricusvirus inbricus	no
Anchaingvirus anchaing	no
Bakolyvirus bakoly	no
Cimandefvirus cimandef	no
Gervaisevirus claudettte	no
Cimandefvirus eline	no
Firingavirus firinga	no
Gervaisevirus GP4	no
Cimandefvirus gamede	no
Cimandefvirus Ggerry	no
Gervaisevirus gervaise	no
Cimandefvirus heva	no
Firingavirus RSK1	no
Rahariannevirus raharianne	no
Bakolyvirus simangalove	no
Mydovirus Ro1	no
Sleepyheadvirus sleepyhead	no
Epsilontectivirus toil	no
Whackvirus whack	no
Aoqinvirus RD1410W101	no
Rubivirus rubellae	no
Aorunvirus V12	no
Pomeroyivirus V13	no
Salinovirus utanense	no
Epseptimavirus ev119	no
Epseptimavirus ev129	no
Epseptimavirus 100268sal2	no
Chivirus cv118970sal1	no
Epseptimavirus ev23	no
Chivirus cv35	no
Chivirus cv37	no
Salmonella virus BP12C	no
Kuttervirus BSP101	no
Chivirus BSPM4	no
Chivirus KFSSE1	no
Tequintavirus L6jm	no
Kuttervirus mutine	no
Epseptimavirus OSYSTA	no
Agtrevirus P46FS4	no
Kuttervirus S118	no
Epseptimavirus SB13	no
Tequintavirus SE11	no
Rosemountvirus SE13	no
Kuttervirus SE14	no
Epseptimavirus SE24	no
Tequatrovirus sgallinarium	no
Irrigatiovirus SI7	no
Tequatrovirus snuabm	no
Kuttervirus SP1	no
Kuttervirus SS9	no
Chivirus ST101	no
Kuttervirus STW77	no
Eganvirus SW9	no
Kuttervirus SeB	no
Kuttervirus SeG	no
Kuttervirus SeJ	no
Kuttervirus SeSz1	no
Kuttervirus SenALZ1	no
Kuttervirus SenASZ3	no
Epseptimavirus sepoy	no
Chivirus siskin	no
Tequintavirus Th1	no
Rosemountvirus UPFBP2	no
Kuttervirus aagejoakim	no
Kuttervirus allotria	no
Astrithrvirus astrithr	no
Epseptimavirus atrejo	no
Kuttervirus barely	no
Epseptimavirus bastian	no
Kuttervirus bering	no
Rosemountvirus birk	no
Epseptimavirus bombadil	no
Kuttervirus dinky	no
Epseptimavirus faergetype	no
Epseptimavirus fuchur	no
Kuttervirus heyday	no
Kuttervirus maane	no
Kuttervirus moki	no
Tequintavirus oldekolle	no
Epseptimavirus oselot	no
Kuttervirus pertopsoe	no
Kuttervirus rabagast	no
Epseptimavirus rokbiter	no
Hanrivervirus slyngel	no
Rosemountvirus yarpen	no
Scarabeuvirus blattae	no
Scarabeuvirus dentati	no
Sclerotimonavirus sclerotiniae	no
Moabitevirus mv2050HW	no
Myosmarvirus MTx	no
Moabitevirus moabite	no
Muldoonvirus muldoon	no
Myosmarvirus myosmar	no
Muldoonvirus PS2	no
Parlovirus parlo	no
Tequatrovirus zeezeethirty	no
Alphadrosrhavirus shayang	no
Betanemrhavirus shayang	no
Sigmavirus shayang	no
Tequatrovirus cm8	no
Warwickvirus JK16	no
Tequatrovirus jaykay	no
Agtrevirus MK13	no
Tequatrovirus sh7	no
Tequatrovirus shfml11	no
Tequatrovirus shfml26	no
Tequatrovirus sf23	no
Huelvavirus ort11	no
Triavirus tv15644	no
Biseptimavirus bv23MRA	no
Peeveelvirus pv3AJ2017	no
Phietavirus pv3MRA	no
Phietavirus B166	no
Phietavirus B236	no
Biseptimavirus BU01	no
Peeveelvirus CN125	no
Rockefellervirus CNPx	no
Dubowvirus HSA84	no
Phietavirus Henu2	no
Rockefellervirus IME134801	no
Biseptimavirus IME136101	no
Peeveelvirus JS01	no
Triavirus JS02	no
Triavirus LH1	no
Biseptimavirus P1105	no
Triavirus P240	no
Biseptimavirus P282	no
Biseptimavirus P630	no
Biseptimavirus P954	no
Peeveelvirus PV83	no
Peeveelvirus PVL108	no
Peeveelvirus PVL	no
Triavirus R1988	no
Phietavirus ROSA	no
Biseptimavirus SA1014ruMSSAST7	no
Triavirus SA137ruMSSAST121PVL	no
Phietavirus SA13	no
Biseptimavirus SA345ruMSSAST8	no
Dubowvirus SA75	no
Peeveelvirus SA780ruMSSAST101	no
Peeveelvirus SA7	no
Dubowvirus SA97	no
Triavirus SAP11	no
Phietavirus SAP27	no
Dubowvirus SAP33	no
Coventryvirus SN8	no
Coventryvirus SP120	no
Coventryvirus SP197	no
Coventryvirus SP276	no
Dubowvirus SP5	no
Phietavirus sebago	no
Coventryvirus SpT152	no
Phietavirus StauST3981	no
Triavirus StauST3982	no
Phietavirus StauST3983	no
Biseptimavirus StauST3984	no
Phietavirus StauST3985	no
Dubowvirus TEM126	no
Phietavirus UPMK2	no
Coventryvirus WIS42	no
Triavirus fPfSau02	no
Triavirus tv2958PVL	no
Triavirus tv2	no
Biseptimavirus phi7247PVL	no
Phietavirus JB	no
Biseptimavirus NM3	no
Coventryvirus SP441	no
Triavirus st121mssa	no
Triavirus st1	no
Biseptimavirus st22	no
Triavirus st30	no
Triavirus st5	no
Triavirus st78	no
Peeveelvirus tp3101	no
Triavirus tp3102	no
Menderavirus IMESM1	no
Menderavirus mendera	no
Menderavirus moby	no
Pokkenvirus pokken	no
Annadreamyvirus annadreamy	no
Borockvirus brock	no
Annadreamyvirus blueeyedbeauty	no
Gilsonvirus comrade	no
Flowerpowervirus flowerpower	no
Deltatectivirus forthebois	no
Gilsonvirus gilson	no
Immanueltrevirus immanuel3	no
Manuelvirus JXY1	no
Streptomyces virus Karimac	no
Streptomyces virus LukeCage	no
Manuelvirus manuel	no
Streptomyces virus StarPlatinum	no
Manuelvirus wrighton	no
Deltatectivirus wheeheim	no
Streptomyces virus Wollford	no
Streptomyces virus Yaboi	no
Aorunvirus EE36phi1	no
Raunefjordenvirus CB2047B	no
Taceavirus wenlingense	no
Shirahamavirus PTm1	no
Kungbxnavirus pT24	no
Merhavirus tritaeniorhynchus	no
Usarudivirus SIRV10	no
Usarudivirus SIRV11	no
Usarudivirus SIRV4	no
Usarudivirus SIRV5	no
Usarudivirus SIRV8	no
Usarudivirus SIRV9	no
Aphroditevirus av2TSL2019	no
Dorisvirus 49B3	no
Nahantvirus 49C7	no
Icepovirus bengalense	no
Galateavirus PVA5	no
Aphroditevirus USC1	no
Stoningtonvirus VBP47	no
Pacinivirus VCO139	no
Yongunavirus yong1	no
Pacinivirus phi1	no
Alphacrustrhavirus wenling	no
Alpharicinrhavirus wuhan	no
Sigmavirus wuhan	no
Dibbivirus DIBBI	no
Riverridervirus riverrider	no
Alachuavirus Xp15	no
Tequatrovirus pyps2t	no
Tequatrovirus zeen18	no
Tequatrovirus fps2	no
Sigmavirus ying	no
Alphacrustrhavirus zhejiang	no
Zinnia leaf curl virus-associated DNA beta	no
Dinavirus dina	no
Halorubrum tailed phage 7	no
Erwinia phage pEa_SNUABM_1	no
Erwinia phage pEa_SNUABM_16	no
Erwinia phage pEa_SNUABM_17	no
Erwinia phage pEa_SNUABM_2	no
Erwinia phage pEa_SNUABM_22	no
Erwinia phage pEa_SNUABM_3	no
Erwinia phage pEa_SNUABM_30	no
Erwinia phage pEa_SNUABM_32	no
Erwinia phage pEa_SNUABM_33	no
Erwinia phage pEa_SNUABM_35	no
Swiduovirus swi2	no
Alphanucleorhabdovirus melongenae	no
Alphapolyomavirus eidoli	no
Lyssavirus hamburg	no
Lyssavirus helsinki	no
Betanucleorhabdovirus retesonchi	no
Alphanucleorhabdovirus zeairanense	no
Alphanucleorhabdovirus oryzae	no
Alphayadokarivirus sanbani	no
Abidjanvirus ZC01	no
Acadianvirus serendipitous	no
Afonbuvirus faecalis	no
Akihdevirus balticus	no
Akiravirus akira	no
Alisovirus socal22	no
Alphafusarivirus fusarii	no
Alphafusarivirus ioaponiae	no
Alphafusarivirus neofusicocci	no
Alphafusarivirus penicilli	no
Alphafusarivirus pleosporae	no
Alphafusarivirus roqueforti	no
Alphafusarivirus roselliniae	no
Alphahypovirus americanum	no
Alphahypovirus cryphonectriae	no
Alphahypovirus fusarii	no
Alphahypovirus insecti	no
Alphamesonivirus 11	no
Alphapolyomavirus macacae	no
Alphapolyomavirus mischreibersii	no
Alphapolyomavirus nonihominis	no
Alphapolyomavirus philantombae	no
Alphapolyomavirus pirufomitratus	no
Alphapolyomavirus ranorvegicus	no
Alphapolyomavirus saraneus	no
Alphapolyomavirus secumastomysis	no
Alphapolyomavirus secumischreibersii	no
Alphapolyomavirus socoronatus	no
Alphapolyomavirus sominutus	no
Alphapolyomavirus suis	no
Alphapolyomavirus tertimastomysis	no
Alphapolyomavirus tuglis	no
Alphasphaerolipovirus HHIV2	no
Alphasphaerolipovirus PH1	no
Alphasphaerolipovirus SH1	no
Alphayadokarivirus ichibani	no
Amginevirus amgine	no
Amginevirus amohnition	no
Amginevirus darthP	no
Amginevirus ekdilam	no
Amginevirus ellie	no
Aminayvirus aminay	no
Anayavirus adephagia	no
Anayavirus adonis	no
Anayavirus alishaPH	no
Anayavirus amelie	no
Anayavirus apocalypse	no
Anayavirus beezoo	no
Anayavirus bella96	no
Anayavirus chris	no
Anayavirus curiosium	no
Anayavirus kisi	no
Anayavirus lasthope	no
Anayavirus laterM	no
Anayavirus markphew	no
Anayavirus marshawn	no
Anayavirus murucutumbu	no
Anayavirus nibb	no
Anayavirus niklas	no
Anayavirus prithvi	no
Anayavirus sirphilip	no
Anayavirus urkel	no
Anayavirus validus	no
Anayavirus yuna	no
Anayavirus yunkel11	no
Anayavirus zavala	no
Andurilvirus erebor	no
Angelvirus px29	no
Anthonyvirus anthony	no
Antsirabevirus antsirabe	no
Apscaviroid glvd	no
Apscaviroid pvd	no
Apscaviroid pvd-2	no
Aptresvirus AP3	no
Aptresvirus mana	no
Archimedesvirus archimedes	no
Arequatrovirus paedore	no
Arsyunavirus RSY1	no
Aurodevirus hominis	no
Aurodevirus intestinalis	no
Avanivirus demsculpinboyz	no
Avanivirus soul22	no
Avanivirus zapner	no
Avocadovirus avocado	no
Avocadovirus cambiare	no
Avocadovirus flagstaff	no
Bacelvirus phi46tres	no
Backyardiganvirus arturo	no
Backyardiganvirus backyardigan	no
Backyardiganvirus bellusterra	no
Backyardiganvirus camperdownii	no
Backyardiganvirus cerulean	no
Backyardiganvirus cindaradix	no
Backyardiganvirus cintron	no
Backyardiganvirus icleared	no
Backyardiganvirus leoavram	no
Backyardiganvirus miramae	no
Backyardiganvirus mundrea	no
Backyardiganvirus noelle	no
Backyardiganvirus stasia	no
Backyardiganvirus wizard007	no
Baltivirus phi13duo	no
Baltivirus phi18tres	no
Baltivirus phi19tres	no
Beejeyvirus BJ1	no
Benedictvirus archetta	no
Benedictvirus benedict	no
Benedictvirus bluefalcon	no
Benedictvirus chadwick	no
Benedictvirus jovo	no
Benedictvirus littlecherry	no
Benedictvirus naca	no
Benedictvirus scorpia	no
Benedictvirus swirley	no
Benedictvirus theia	no
Benedictvirus unionjack	no
Benedictvirus zolita	no
Beograduvirus KPhi1	no
Beograduvirus Xaf18	no
Bernalvirus mendokysei	no
Besingivirus coli	no
Betachrysovirus secupenicillii	no
Betafusarivirus alternariae	no
Betafusarivirus sclerotiniae	no
Betafusarivirus sinensis	no
Betahypovirus americanum	no
Betahypovirus cryphonectriae	no
Betahypovirus sinensis	no
Betahypovirus valsae	no
Betapolyomavirus gliris	no
Betapolyomavirus marvalis	no
Betapolyomavirus meletis	no
Betapolyomavirus myoglareolus	no
Betapolyomavirus pantherae	no
Betapolyomavirus raegyptiacus	no
Betapolyomavirus sasciureus	no
Betapolyomavirus sciuri	no
Betapolyomavirus tertimuris	no
Betayadokarivirus ichibani	no
Bippervirus bipper	no
Birdsnestvirus birdsnest	no
Birpovirus hiberniae	no
Bixzunavirus astraea	no
Bixzunavirus bigswole	no
Bixzunavirus cane17	no
Bixzunavirus charlieB	no
Bixzunavirus mangeria	no
Bixzunavirus noodletree	no
Bixzunavirus qbert	no
Bixzunavirus quasimodo	no
Bixzunavirus sauce	no
Bixzunavirus tonenili	no
Blohavirus americanus	no
Bonaevitaevirus bonaevitae	no
Bongovirus reindeer	no
Bosavirus bosa	no
Bragavirus p43	no
Bragavirus pm2	no
Bragavirus pm5461	no
Bristolvirus rhodeisland	no
Broinstvirus pCB2051A	no
Bromdenvirus bromden	no
Bromdenvirus dyoedafos	no
Bronvirus cicholasnage	no
Bronvirus dirkdirk	no
Bronvirus ohshaghennessy	no
Bronvirus silverleaf	no
Brujitavirus HC	no
Brujitavirus xula	no
Buchananvirus Sa179lw	no
Buchavirus coli	no
Buchavirus copri	no
Buchavirus faecalis	no
Buchavirus hominis	no
Buchavirus splanchnicus	no
Buhlduvirus animalis	no
Buhlduvirus porcinus	no
Buorbuivirus hominis	no
Burzaovirus coli	no
Burzaovirus faecalis	no
Cacepaovirus simiae	no
Caelumvirus alvy	no
Caelumvirus caelum	no
Caelumvirus daudau	no
Caelumvirus issmi	no
Caelumvirus thestral	no
Callevirus Calle	no
Callevirus phi38una	no
Caminolopintovirus STGO351	no
Camvirus alsaber	no
Camvirus endor1	no
Camvirus endor2	no
Camvirus joe	no
Camvirus saftant	no
Camvirus sitrop	no
Canhaevirus hiberniae	no
Carettavirus e142	no
Carlavirus CVR	no
Carlavirus PepVA	no
Catfishvirus catfish	no
Cebadecemvirus phi10una	no
Cedarrivervirus Sf11	no
Ceetrepovirus kimchi1738	no
Ceetrepovirus stickynote	no
Celiavirus celia	no
Cellubavirus phi19una	no
Cenphatecvirus saba	no
Cetarhavirus laganorhynchus	no
Chalconvirus acg2014e	no
Chalconvirus acg2014i	no
Charlievirus Aggie	no
Charlievirus Andies	no
Charlievirus Fulbright	no
Charlievirus Jamie19	no
Charlievirus Kevin1	no
Charlievirus Philonius	no
Charlievirus Raymond7	no
Charlievirus Rebel	no
Charlievirus Tapioca	no
Cheoctovirus DRBy19	no
Cheoctovirus arcusangelus	no
Cheoctovirus batiatus	no
Cheoctovirus blexus	no
Cheoctovirus bobaphett	no
Cheoctovirus bodeinwohner17	no
Cheoctovirus bubbles123	no
Cheoctovirus burwell21	no
Cheoctovirus buzzlyseyear	no
Cheoctovirus byougenkin	no
Cheoctovirus captaintrips	no
Cheoctovirus chuckly	no
Cheoctovirus dante	no
Cheoctovirus dilltech15	no
Cheoctovirus donkeykong	no
Cheoctovirus doug	no
Cheoctovirus eish	no
Cheoctovirus eleanorgeorge	no
Cheoctovirus emma	no
Cheoctovirus empress	no
Cheoctovirus estave1	no
Cheoctovirus fancypants	no
Cheoctovirus filuzino	no
Cheoctovirus firehouse51	no
Cheoctovirus florinda	no
Cheoctovirus galactic	no
Cheoctovirus gandalph	no
Cheoctovirus geralt	no
Cheoctovirus girr	no
Cheoctovirus gorge	no
Cheoctovirus hades	no
Cheoctovirus hamulus	no
Cheoctovirus harley	no
Cheoctovirus hlubikazi	no
Cheoctovirus inventum	no
Cheoctovirus joeyjr	no
Cheoctovirus kersh	no
Cheoctovirus kimberlium	no
Cheoctovirus krakatau	no
Cheoctovirus kristaram	no
Cheoctovirus lilmoolah	no
Cheoctovirus lizziana	no
Cheoctovirus mahavrat	no
Cheoctovirus mantra	no
Cheoctovirus mattes	no
Cheoctovirus melissauren88	no
Cheoctovirus milleniumforce	no
Cheoctovirus miniondave	no
Cheoctovirus minnie	no
Cheoctovirus moonbeam	no
Cheoctovirus nitzel	no
Cheoctovirus nivrat	no
Cheoctovirus ochi17	no
Cheoctovirus oldben	no
Cheoctovirus olympiasaint	no
Cheoctovirus ovechkin	no
Cheoctovirus owlsT2W	no
Cheoctovirus phasih	no
Cheoctovirus phatniss	no
Cheoctovirus plumbus	no
Cheoctovirus poenanya	no
Cheoctovirus polka14	no
Cheoctovirus poptart	no
Cheoctovirus priscilla	no
Cheoctovirus quickmath	no
Cheoctovirus ritaG	no
Cheoctovirus royals2015	no
Cheoctovirus saal	no
Cheoctovirus sandalphon	no
Cheoctovirus sisi	no
Cheoctovirus sparkdehlily	no
Cheoctovirus spikelee	no
Cheoctovirus spoonbill	no
Cheoctovirus supergrey	no
Cheoctovirus swagpigglett	no
Cheoctovirus veteran	no
Cheoctovirus wachhund	no
Cheoctovirus whouxphf	no
Cheoctovirus willsterrel	no
Cheoctovirus xfactor	no
Cheoctovirus zerg	no
Chivirus ER24	no
Chivirus KpYy141	no
Chivirus SeWh1	no
Chrysonvirus as5	no
Chuhaivirus simiae	no
Cinqassovirus ah1	no
Citexvirus BR319A	no
Clampvirus HHTV1	no
Claudivirus baseballfield	no
